14
42
0	1	1100000	22
1	0	1100000	22
0	2	1600000 32
2	0	1600000	32
0	7	2800000	56
7	0	2800000	56
1	2	600000	12
2	1	600000	12
1	3	1000000	20
3	1	1000000	20
2	5	2000000	40
5	2	2000000	40
3	4	600000	12
4	3	600000	12
3	10	2400000	48
10	3	2400000	48
4	5	1100000	22
5	4	1100000	22
4	6	800000	16
6	4	800000	16
5	9	1200000	24
9	5	1200000	24
5	12	2000000	40
12	5	2000000	40
6	7	700000	14
7	6	700000	14
7	8	700000	14
8	7	700000	14
8	9	900000	18
9	8	900000	18
8	11	500000	10
11	8	500000	10
8	13	500000	10
13	8	500000	10
10	11	800000	16
11	10	800000	16
10	13	800000	16
13	10	800000	16
11	12	300000	6
12	11	300000	6
12	13	300000	6
13	12	300000	6


//
Number of Nodes
Number of Links
SourceNode  DestinationNode LinkLength (m)  NumberOfSections

